DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS,section_number,description,country_name,country_code
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,512,2020,513834769.99,,,,0,5,MINERAL PRODUCTS,Oman,512
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,512,2021,530795315.04,,,,0,5,MINERAL PRODUCTS,Oman,512
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,512,2022,313471709.18,,,,0,5,MINERAL PRODUCTS,Oman,512
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,512,2023,1105227136.65,,,,0,5,MINERAL PRODUCTS,Oman,512
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,512,2024,1863429539.98,,,,0,5,MINERAL PRODUCTS,Oman,512
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,398,2017,640740.07,,,,0,5,MINERAL PRODUCTS,Kazakhstan,398
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,398,2018,4389484.04,,,,0,5,MINERAL PRODUCTS,Kazakhstan,398
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,398,2019,3744118.42,,,,0,5,MINERAL PRODUCTS,Kazakhstan,398
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,398,2020,7186092.02,,,,0,5,MINERAL PRODUCTS,Kazakhstan,398
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,398,2021,14031318.78,,,,0,5,MINERAL PRODUCTS,Kazakhstan,398
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,398,2022,55544229.92,,,,0,5,MINERAL PRODUCTS,Kazakhstan,398
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,398,2023,20046356.26,,,,0,5,MINERAL PRODUCTS,Kazakhstan,398
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,398,2024,18489162.84,,,,0,5,MINERAL PRODUCTS,Kazakhstan,398
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,833,2018,945.0,,,,0,5,MINERAL PRODUCTS,Isle of Man,833
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,5,_Z,833,2019,0.0,,,,0,5,MINERAL PRODUCTS,Isle of Man,833
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,6,_Z,348,2017,1430863.89,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Hungary,348
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,6,_Z,348,2018,2799452.88,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Hungary,348
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,6,_Z,348,2019,3173210.93,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Hungary,348
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,6,_Z,348,2020,2568572.79,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Hungary,348
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,6,_Z,348,2021,6936816.53,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Hungary,348
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,6,_Z,348,2022,3797091.47,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Hungary,348
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,6,_Z,348,2023,5763782.83,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Hungary,348
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,6,_Z,348,2024,4589583.89,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Hungary,348
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,9,_Z,620,2017,267196.8,,,,0,9,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND ARTICLES OF CORK; MANUFACTURES OF STRAW OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK,Portugal,620
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,9,_Z,620,2018,412568.21,,,,0,9,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND ARTICLES OF CORK; MANUFACTURES OF STRAW OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK,Portugal,620
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,9,_Z,620,2019,172873.38,,,,0,9,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND ARTICLES OF CORK; MANUFACTURES OF STRAW OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK,Portugal,620
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,9,_Z,620,2020,616188.21,,,,0,9,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND ARTICLES OF CORK; MANUFACTURES OF STRAW OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK,Portugal,620
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,9,_Z,620,2021,550845.79,,,,0,9,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND ARTICLES OF CORK; MANUFACTURES OF STRAW OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK,Portugal,620
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,9,_Z,620,2022,572624.72,,,,0,9,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND ARTICLES OF CORK; MANUFACTURES OF STRAW OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK,Portugal,620
FCSA:DF_TRADE_REXP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,REEXP,9,_Z,620,2023,1152619.96,,,,0,9,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL; CORK AND ARTICLES OF CORK; MANUFACTURES OF STRAW OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK,Portugal,620
