DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,TRADE_TYPE,HS_SECTION,HS_CHAPTER,COUNTRY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS,section_number,description,country_name,country_code
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,4,_Z,112,2022,5569336.11,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Belarus,112
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,4,_Z,112,2023,10557530.73,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Belarus,112
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,4,_Z,112,2024,4772302.36,,,,0,4,PREPARED FOODSTUFFS; BEVERAGES SPIRITS AND VINEGAR; TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES,Belarus,112
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,5,_Z,24,2017,0.0,,,,0,5,MINERAL PRODUCTS,Angola,24
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,5,_Z,24,2018,0.0,,,,0,5,MINERAL PRODUCTS,Angola,24
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,5,_Z,24,2019,155982.1,,,,0,5,MINERAL PRODUCTS,Angola,24
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,5,_Z,24,2020,46991.5,,,,0,5,MINERAL PRODUCTS,Angola,24
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,5,_Z,24,2021,110.79,,,,0,5,MINERAL PRODUCTS,Angola,24
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,5,_Z,24,2022,3693.0,,,,0,5,MINERAL PRODUCTS,Angola,24
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,5,_Z,24,2023,199880.78,,,,0,5,MINERAL PRODUCTS,Angola,24
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,5,_Z,24,2024,758845.77,,,,0,5,MINERAL PRODUCTS,Angola,24
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,5,_Z,663,2023,0.0,,,,0,5,MINERAL PRODUCTS,Saint Martin (French Part),663
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,5,_Z,663,2024,0.0,,,,0,5,MINERAL PRODUCTS,Saint Martin (French Part),663
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,6,_Z,404,2017,310756.56,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Kenya,404
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,6,_Z,404,2018,1274930.26,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Kenya,404
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,6,_Z,404,2019,1645244.69,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Kenya,404
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,6,_Z,404,2020,1466187.46,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Kenya,404
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,6,_Z,404,2021,1726539.5,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Kenya,404
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,6,_Z,404,2022,2322992.52,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Kenya,404
FCSA:DF_TRADE_IMP_SECT_YR(5.1.0),AE,A,AED,FCSC,ANN_CNT_SEC,IMP,6,_Z,404,2023,8546340.66,,,,0,6,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,Kenya,404
