DATAFLOW,REF_AREA,FREQ,UNIT_MEASURE,SOURCE_DETAIL,MEASURE,QUARTER,QGDP_SYS,QGDP_UNIT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,OBS_COMMENT,DECIMALS
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q1,CUR,GWTH_RATE,2025,5.588339285,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2013,6.607641,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2014,12.820748,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2015,1.956434,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2016,2.968753,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2017,-0.3,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2018,6.2,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2019,3.7,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2020,-18.9,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2021,13.6,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2022,11.4,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2023,14.2,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,PRO,Q2,CUR,GWTH_RATE,2024,3.8,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2012,361755,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2013,385629,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2014,403695,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2015,353719,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2016,355916,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2017,368319,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2018,409657,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2019,395328,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2020,321248,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2021,393486,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2022,494394,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2023,479286,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,TOT_GDP,Q3,CUR,VAL,2024,511962,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2013,0.228551,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2014,4.48818,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2015,9.388144,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2016,12.579998,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2017,4.5,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2018,5.7,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2019,-1.8,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2020,-34.4,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2021,22.9,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2022,2.4,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2023,14.9,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,PERCENT,FCSC,ART,Q2,CUR,GWTH_RATE,2024,2.6,,,,1
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2012,134303,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2013,128346,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2014,99231,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2015,57080,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2016,74079,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2017,80344,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2018,112352,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2019,87774,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2020,53608,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2021,104602,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2022,130936,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2023,122387,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,MIN,Q4,CUR,VAL,2024,106344,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2012,39618,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2013,43377,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2014,43780,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2015,46940,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2016,51036,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2017,49515,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2018,52002,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2019,53766,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2020,43083,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2021,49824,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2022,53287,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2023,57940,,,,0
FCSA:DF_QGDP_CUR(1.8.0),AE,Q,MILAED,FCSC,WHO,Q2,CUR,VAL,2024,61122,,,,0
